name,telNum,neighborhood,address,hh_sun,hh_mon,hh_tues,hh_wed,hh_thurs,hh_fri,hh_sat
Dyckman Bar,(646) 360-3018,Washington Heights,"221 Dyckman St., New York, NY 10034",,,,,,,
Dylan Murphy's,(212) 988-9434,Upper East Side,"1453 3rd Ave., New York, NY 10028",,,,,,,
Dynaco,noval,Bedford Stuyvesant,"1112 Bedford Ave., Brooklyn, NY 11216",,,,,,,
Eamonn's Bar & Grill,(212) 867-9013,Midtown East,"9 E 45th St., New York, NY 10017",,,,,,,
Ear Inn,(212) 226-9060,South Village,"326 Spring St., New York, NY 10013",,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,
Earl's Beer & Cheese,(212) 289-1581,East Harlem,"1259 Park Ave., New York, NY 10029",,,,,,,
East End Bar & Grill,(212) 348-3783,Yorkville,"1664 1st Ave., New York, NY 10028",11:30AM-4PM,3PM-7PM|7PM-Close,3PM-7PM|7PM-Close,3PM-7PM,7PM-Close,3PM-7PM,11:30AM-4PM
East River Bar,(718) 302-0511,South Williamsburg,"97 S 6th St., Brooklyn, NY 11211",,,,,,,
Eastside Billiards,(212) 831-7665,Upper East Side,"163 E 86th St., New York, NY 10028",,3PM-7PM,3PM-7PM,3PM-7PM,3PM-7PM,3PM-7PM,
Eat Gastropub,(516) 766-9547,Oceanside,"2823 Long Beach Rd., Oceanside, NY 11572",,,,,,,
Eataly NYC,(212) 229-2560,Flatiron,"200 5th Ave., New York, NY 10010",,,,,,,
Eats,(212) 396-3287,Upper East Side,"1055 Lexington Ave., Manhattan, NY 10021",4PM-Close,4PM-Close,4PM-Close,4PM-Close,4PM-Close,4PM-Close,4PM-Close
Eclipse Restaurant,(718) 529-5580,Ozone Park,"11146 Lefferts Blvd., South Ozone Park, NY 11420",,,,,,,
Ed's Chowder House,(212) 956-1288,Upper West Side,"44 W 63rd St., New York, NY 10023",,,,,,,
Edward's,(212) 233-6436,TriBeCa,"136 W Broadway, New York, NY 10013",,,,,,,
Effin Gruven,(516) 409-1415,Bellmore,"2562 Sunrise Hwy., Bellmore, NY 11710",,,,,,,
Egan & Sons,(973) 744-1413,Montclair,"118 Walnut St., Montclair, NJ 07042",,,,,,,
El Azteca,(212) 307-0616,Hell's Kitchen,"783 9th Ave., New York, NY 10019",,,,,,,
El Born,(347) 844-9295,Greenpoint,"651 Manhattan Ave., Brooklyn, NY 11222",,,,,,,
El Camion,(212) 533-5436,East Village,"194 Ave. A, New York, NY 10009",,,,,,,
El Cantinero,(212) 255-9378,Greenwich Village,"86 University Pl, New York, NY 10003",,,,,,,
El Centro,(646) 763-6585,Hell's Kitchen,"824 9th Ave., New York, NY 10019",,,,,,,
El Coyote Restaurant,(718) 651-4874,Jackson Heights,"80-18 Northern Blvd., Jackson Heights, NY 11372",,,,,,,
El Kallejon,(646) 649-4795,East Harlem,"209 E 117th St., New York, NY 10035",,,,,,,
El Mitote,(212) 874-2929,Upper West Side,"208 Columbus Ave., New York, NY 10023",,,,,,,
El Parador Cafe,(212) 679-6812,Kips Bay,"325 E 34th St., New York, NY 10016",,3PM-6PM,3PM-6PM,3PM-6PM,3PM-6PM,3PM-6PM,3PM-6PM
El Paso Taqueria,(212) 996-1739,East Harlem,"64 E 97th St., New York, NY 10029",,,,,,,
El Quinto Pino,(212) 206-6900,Chelsea,"401 W 24th St., New York, NY 10011",,,,,,,
El Rey del Sabor,(347) 353-2939,Upper East Side,"166 E 60th St., New York, NY 10021",,,,,,,
El Rio Grande,(212) 867-0922,Midtown East,"160 E 38th St., New York, NY 10016",All Day,4PM-7PM,4PM-7PM,4PM-7PM,,,12PM-7PM
El Toro Blanco,(212) 645-0193,West Village,"257 Sixth Ave., New York, NY 10014",,,,,,,
El Vez,(212) 233-2500,Battery Park,"259 Vesey St., New York, NY 10281",,,,,,,
Elephant & Castle,(212) 243-1400,West Village,"68 Greenwich Ave., New York, NY 10011",,,,,,,
Eleven Madison Park,(212) 889-0905,Flatiron,"11 Madison Ave., New York, NY 10010",,,,,,,
Elmo,(212) 337-8000,Chelsea,"156 7th Ave., New York, NY 10011",,,,,,,
Emerald Inn,(212) 874-8840,Upper West Side,"250 W 72nd St., New York, NY 10023",,,,,,,
Emily,(347) 844-9588,Clinton Hill,"919 Fulton St., Brooklyn, NY 11238",,,,,,,
Emmett O'Lunney's Irish Pub,(212) 957-5100,Theater District,"210 W 50th St., New York, NY 10019",,,,,,,
Empellon Al Pastor,(646) 833-7039,East Village,"132 St. Marks Pl, New York, NY 10009",,,,,,,
Empellon Taqueria,(212) 367-0999,West Village,"230 W 4th St., Manhattan, NY 10014",,,,,,,
Employees Only,(212) 242-3021,West Village,"510 Hudson St., New York, NY 10014",,,,,,,
Emporio,(212) 966-1234,Nolita,"231 Mott St., New York, NY 10012",5PM-6:30PM,5PM-6:30PM,5PM-6:30PM,5PM-6:30PM,5PM-6:30PM,5PM-6:30PM,5PM-6:30PM
Enid's,(718) 349-3859,Greenpoint,"560 Manhattan Ave., Brooklyn, NY 11222",4PM-7PM|12AM-2AM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM
Enoteca Maria,(718) 447-2777,Staten Island,"27 Hyatt St., Staten Island, NY 10301",,,,,,,
Entwine,(212) 727-8765,West Village,"765 Washington St., New York, NY 10014",,,,,,,
Epistrophy,(212) 966-0904,Nolita,"200 Mott St., New York, NY 10012",,,,,,,
Erv's on Beekman,(916) 936-2122,Prospect Lefferts Gardens,"2122 Beekman Pl, Prospect Lefferts Gardens, NY 11225",,,,,,,
E's Bar,(212) 877-0961,Upper West Side,"511 Amsterdam Ave., New York, NY 10024",,,,,,,
Esca,(212) 564-7272,Hell's Kitchen,"402 W 43rd St., New York, NY 10036",,,,,,,
Esperanto,(212) 505-6559,East Village,"145 Ave. C, New York, NY 10009",,,,,,,
Essex,(212) 533-9616,Lower East Side,"120 Essex St., New York, NY 10002",6PM-9PM,6PM-9PM,6PM-9PM,6PM-9PM,6PM-9PM,12AM-1AM,12AM-1AM
est. 1986 Wine Bar,(212) 563-1500,Midtown West,"43 W 32nd St., New York, NY 10001",6PM-8PM,6PM-8PM,6PM-8PM,6PM-8PM,6PM-8PM,6PM-8PM,6PM-8PM
Exo Cafe,(718) 261-6162,Forest Hills,"70-20 Austin St., Forest Hills, NY 11375",10AM-3PM,4PM-7PM,4PM-7PM,4PM-7PM|7PM-10PM,4PM-7PM|7PM-10PM,4PM-7PM,10AM-3PM
Extra Virgin,(212) 691-9359,West Village,"259 W 4th St., New York, NY 10014",,,,,,,
F & J Pine Restaurant,(718) 792-5956,Van Nest,"1913 Bronxdale Ave., Bronx, NY 10462",,,,,,,
Fabbrica Restaurant & Bar,(718) 218-7045,Williamsburg - North Side,"44 N 6th St., Brooklyn, NY 11249",,,,,,,
Faces and Names,(212) 586-9311,Theater District,"159 W 54th St., New York, NY 10019",,,,,,,
Failte,(212) 725-9440,Midtown East,"531 2nd Ave., New York, NY 10016",12PM-6PM,12PM-6PM,12PM-6PM,12PM-6PM,12PM-6PM,12PM-6PM,12PM-6PM
Fairytail Lounge,(646) 684-3897,Hell's Kitchen,"500 W 48th St., New York, NY 10019",,,,,,,
Falansai,(347) 599-1190,Bushwick,"112 Harrison Pl., Brooklyn, NY 11237",,,5:30PM-7PM,5:30PM-7PM,5:30PM-7PM,5:30PM-7PM,
Falucka,(212) 777-4555,Greenwich Village,"162 Bleecker St., New York, NY 10012",,,,,,,
Farafina Cafe & Lounge Harlem,(212) 281-2445,Harlem,"1813 Amsterdam Ave., New York, NY 10031",,,,,,,
Fat Baby,(212) 533-1888,Lower East Side,"112 Rivington St., New York, NY 10002",,,,,,,
Fat Buddha,(212) 598-0500,East Village,"212 Ave. A, New York, NY 10009",5PM-10PM,5PM-10PM,5PM-10PM,5PM-10PM,5PM-10PM,5PM-9PM,6PM-9PM
Fat Cat,(212) 675-6056,West Village,"75 Christopher St., New York, NY 10014",,,,,,,
Fatty McGees,(631) 581-9868,East Islip,"138 Connetquot Ave., East Islip, NY 11730",,,,,,,
Favela,(718) 545-8250,Astoria,"33-18 28th Ave., Astoria, NY 11103",,,,,,,
Favela Cubana,(212) 777-6500,Greenwich Village,"543 LaGuardia Pl, New York, NY 10012",,,,,,,
Fawkner,(718) 369-3310,Cobble Hill,"191 Smith St., Brooklyn, NY 11201",,,,,,,
Featherweight,(646) 257-0946,East Williamsburg,"135 Graham Ave., Brooklyn, NY 11206",,,,,,,
Fedora,(646) 449-9336,West Village,"239 W 4th St., New York, NY 10014",,,,,,,
Feile,(212) 695-1122,Midtown West,"131 W 33rd St., New York, NY 10001",All Day,8PM-Close,8PM-Close,8PM-Close,8PM-Close,8PM-Close,All Day
Felice 15 Gold Street,(212) 785-5950,Financial District,"15 Gold St., New York, NY 10038",,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,
Ferraro's Pizzeria & Pub,(732) 667-3863,Middlesex,"275 Lincoln Blvd., Middlesex, NJ 08846",,,,,,,
Fette Sau,(718) 963-3404,Williamsburg - North Side,"354 Metropolitan Ave., Brooklyn, NY 11211",,,,,,,
Fiddlesticks,(212) 436-0516,West Village,"56 Greenwich Ave., New York, NY 10011",,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM,
Fig 19,noval,Lower East Side,"131 1/2 Chrystie St., New York, NY 10002",,,,,,,
Fillmore's Tavern,(718) 762-2727,Flushing,"166-02 65th Ave., Fresh Meadows, NY 11365",,,6PM-11PM,12PM-6PM,,4PM-7PM,
Finnerty's,(212) 677-2655,East Village,"221 2nd Ave., New York, NY 10003",,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM,
Fino Wine & Tapas,(718) 229-1330,Bayside,"39-13 Bell Blvd., Bayside, NY 11361",,,,,,,
Fire & Oak,(201) 610-9610,Jersey City,"479 Washington Blvd., Jersey City, NJ 07310",,,,,,,
Firehouse,(212) 787-3473,Upper West Side,"522 Columbus Ave., New York, NY 10024",,4PM-6:30PM,4PM-6:30PM,4PM-6:30PM,4PM-6:30PM,4PM-6:30PM,
Fish Bar,(212) 475-4949,East Village,"237 E 5th St., New York, NY 10003",5PM-8PM,5PM-8PM,5PM-8PM,5PM-8PM,5PM-8PM,5PM-8PM,5PM-8PM
Fisheye Bar & Grill,(718) 451-3474,East Flatbrush,"5913 Foster Ave., Brooklyn, NY 11234",,,,,,,
FishTag,(212) 362-7470,Upper West Side,"222 W 79th St., New York, NY 10024",,,,,,,
Fitzgerald's Pub,(212) 679-6931,Kips Bay,"336 3rd Ave., New York, NY 10010",,,,,,,
Five Mile Stone,(212) 933-0913,Upper East Side,"1640 Second Ave., New York, NY 10028",9AM-3PM,11AM-7PM,11AM-7PM,11AM-7PM,11AM-7PM,11AM-7PM,9AM-3PM
Five Spot,(718) 852-0202,Clinton Hill,"459 Myrtle Ave., Brooklyn, NY 11205",,,,,,,
Flaming Saddles Saloon,(212) 713-0481,Hell's Kitchen,"793 9th Ave., New York, NY 10019",4PM-8PM|Midnight-1AM,4PM-8PM|Midnight-1AM,4PM-8PM|Midnight-1AM,4PM-8PM|Midnight-1AM,4PM-8PM|Midnight-1AM,4PM-8PM|Midnight-1AM,4PM-8PM|Midnight-1AM
Flannery's Bar,(212) 229-2122,Chelsea,"205 W 14th St., New York, NY 10011",,,,,,,
Flatbush Farm,(718) 622-3276,Prospect Heights,"76 Saint Marks Ave., Brooklyn, NY 11217",,,,,,,
Flatiron Hall,(646) 790-3200,Flatiron,"38 W 26th St., New York, NY 10010",,5PM-8PM,5PM-8PM,5PM-8PM,5PM-8PM,5PM-8PM,
Flatiron Lounge,(212) 727-7741,Flatiron,"37 W 19th St., New York, NY 10011",,4PM-6PM,4PM-6PM,4PM-6PM,4PM-6PM,4PM-6PM,
Flex Mussels,(212) 229-0222,West Village,"154 W 13th St., New York, NY 10011",,,,,,,
Flight 151,(212) 229-1868,Chelsea,"151 8th Ave., New York, NY 10011",,,,,,,
Flor De Mayo,(212) 787-3388,Upper West Side,"484 Amsterdam Ave., New York, NY 10024",,,,,,,
Florian,(212) 869-8800,Gramercy,"225 Park Ave. S, New York, NY 10003",,,,,,,
Flute Midtown,(212) 265-5169,Midtown West,"205 W 54th St., New York, NY 10019",,,4PM-8PM,,,,
Fogo de Chão Brazilian Steakhouse,(212) 969-9980,Midtown West,"40 W 53rd St., New York, NY 10019",,,,,,,
Foley's NY,(212) 290-0080,Midtown West,"18 W 33rd St., New York, NY 10001",,,,,,,
Fonda,(212) 677-4096,East Village,"40 Ave. B, New York, NY 10009",,,,,,,
Fools Gold NYC,(212) 673-2337,Lower East Side,"145 E Houston St., New York, NY 10002",,,,,,,
Forest Hills Station House,(718) 544-5000,Forest Hills,"106-11 71st Ave., Forest Hills, NY 11375",,,,,,,
Forgtmenot,(646) 707-3195,Chinatown,"138 Division St., New York, NY 10002",,,,,,,
Formerly Crow's,(212) 361-0077,Greenwich Village,"85 Washington Pl., Manhattan, NY 10011",Noon-6PM,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM,Noon-6PM
Forty Four Lounge,(212) 768-5120,Midtown West,"44 W 44th St., New York, NY 10036",,,,,,,
Foxy Johns Bar & Kitchen,(646) 838-5534,Midtown East,"143 E 47th St., New York, NY 10017",,,,,,,
Frank,(212) 420-0202,East Village,"88 2nd Ave., New York, NY 10003",,,,,,,
Frankie & Johnnie's Steakhouse,(212) 997-9494,Theater District,"320 West 46th St., New York, NY 10036",,,,,,,
Frankies 457 - Brooklyn,(718) 403-0033,Carroll Gardens,"457 Ct. St., Brooklyn, NY 11231",,,,,,,
Franklin Park,(718) 975-0196,Prospect Heights,"618 St. John's Pl., Brooklyn, NY 11238",,All Night,4PM-2AM,4PM-7PM,4PM-7PM,4PM-7PM,
Fraunces Tavern,(212) 968-1776,Financial District,"54 Pearl St., New York, NY 10004",,,,,,,
Freddy's Bar,(718) 768-0131,South Slope,"627 5th Ave., Brooklyn, NY 11215",12PM-7PM,12PM-7PM,12PM-7PM,12PM-7PM,12PM-7PM,12PM-7PM,12PM-7PM
Fred's Restaurant,(212) 579-3076,Upper West Side,"476 Amsterdam Ave., New York, NY 10024",,,,,,,
Freek's Mill,(718) 852-3000,Gowanus,"285 Nevins St., Gowanus, NY 11217",,,,,,,
Freemans,(212) 420-0012,Lower East Side,"Freeman Aly, New York, NY 10002",,,,,,,
French Louie,(718) 935-1200,Boerum Hill,"320 Atlantic Ave., Boerum Hill, NY 11201",,,,,,,
Fresh Salt,(212) 962-0053,South Street Seaport,"146 Beekman St., New York, NY 10038",4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM
Friedman's 31,(212) 971-9400,Midtown West,"132 W 31st St., New York, NY 10001",,,,,,,
Full Circle Bar,(347) 725-4588,Williamsburg - South Side,"318 Grand St., Brooklyn, NY 11211",2PM-9PM,5PM-9PM,5PM-9PM,5PM-9PM,5PM-9PM,5PM-9PM,2PM-9PM
Gabby O'Hara's,(212) 278-8984,Midtown West,"123 W 39th St., New York, NY 10018",,,,,,,
Gabriela's Restaurant & Tequila Bar,(212) 961-9600,Upper West Side,"688 Columbus Ave., New York, NY 10025",,,,,,,
Gallaghers Steakhouse,(212) 586-5000,Theater District,"228 West 52nd St., New York, NY 10019",,,,,,,
Galli,(212) 966-9288,SoHo,"45 Mercer St., New York, NY 10013",,,,,,,
Gallo Nero,(212) 265-6660,Hell's Kitchen,"402 W 44th St., New York, NY 10036",,,,,,,
Gallow Green,(212) 564-1662,Chelsea,"542 W 27th St., New York, NY 10001",,,,,,,
Garden State Ale House,(201) 528-7767,East Rutherford,"340 Paterson Ave., East Rutherford, NJ 07073",,,,,,,
Garlic Pizza Bar,(646) 559-9500,Murray Hill,"629 2nd Ave., New York, NY 10016",4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM
Gaslight Lounge,(212) 807-8444,Meatpacking District,"400 W 14th St., New York, NY 10014",,,,,,,
Gato,(212) 334-6400,NoHo,"324 Lafayette St., New York, NY 10012",,,,,,,
Gatsby's Bar & Restaurant,(212) 334-4430,Nolita,"53 Spring St., New York, NY 10012",,,,,,,
Gavelstone Bar and Grill,(908) 241-2700,Kenilworth,"303 S Michigan Ave., Kenilworth, NJ 07033",,,,,,,
Gemma,(212) 505-7300,NoHo,"335 Bowery, New York, NY 10003",,,,,,,
Genesis Bar and Restaurant,(212) 348-5500,Yorkville,"1708 2nd Ave., New York, NY 10128",11AM-4PM,11AM-7PM,11AM-7PM,11AM-7PM,11AM-7PM,11AM-7PM,11AM-4PM
GENUINE Liquorette,(646) 726-4633,Little Italy,"191 Grand St., New York, NY 10013",,,,,,,
George Keeley's,(212) 873-0251,Upper West Side,"485 Amsterdam Ave., New York, NY 10024",,2PM-8PM,2PM-8PM,2PM-8PM,2PM-8PM,2PM-8PM,
George Street Ale House,(732) 543-2408,New Brunswick,"378 George St., New Brunswick, NJ 08901",12PM-3PM,4PM-7PM|10PM-Close,4PM-7PM|10PM-Close,4PM-7PM|10PM-Close,4PM-7PM|10PM-Close,4PM-7PM|10PM-Close,
Ghenet Brooklyn,(718) 230-4475,Park Slope,"348 Douglass St., Brooklyn, NY 11217",,,,,,,
Gigino Trattoria,(212 ) 431-1112,TriBeCa,"323 Greenwich St., New York, NY 10013",,3PM-6PM,3PM-6PM,3PM-6PM,3PM-6PM,3PM-6PM,
Gilbey's,(718) 545-8567,Astoria,"3201 Broadway, Astoria, NY 11106",,,,,,,
Gilligan's at Soho Grand,(212) 965-3271,South Village,"310 W Broadway, New York, NY 10013",,,,,,,
Gina Mexicana,(212) 527-3700,Upper East Side,"145 E 61st St., New York, NY 10021",,,,,,,
Ginger's,(212) 768-3100,Midtown West,"512 Fashion Ave., New York, NY 10018",,,,,,,
Ginny's Supper Club,(212) 421-3821,Harlem,"310 Lenox Ave., New York, NY 10027",,,,,,,
Giorgio's of Gramercy,(212) 477-0007,Flatiron,"27 East 21st St., New York, NY 10011",,4PM-11PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,
Giovanni's,(718) 402-6996,Concourse Village,"579 Grand Concourse, Bronx, NY 10451",,3PM-6PM,3PM-6PM,3PM-6PM,3PM-6PM,3PM-6PM,
Glady's,(718) 622-0249,Crown Heights,"788 Franklin Ave., Brooklyn, NY 11238",,,,,,,
Glass House Tavern,(212) 730-4800,Midtown West,"252 W 47th St., New York, NY 10036",,,,,,,
GMT Tavern,(646) 863-3776,Greenwich Village,"142 Bleecker St., New York, NY 10012",,,,,,,
Gnocco,(212) 677-1913,East Village,"337 E 10th St., New York, NY 10009",,,,,,,
Gonzalez y Gonzalez,(212) 473-7878,Greenwich Village,"192 Mercer St., New York, NY 10012",4PM-8PM,,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM
Gordon Bennett,(718) 599-9109,Williamsburg - South Side,"109 S 6th St., Brooklyn, NY 11211",4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM
Gotham Bar And Grill,(212) 620-4020,Union Square,"12 E 12th St., New York, NY 10003",,,,,,,
Gottino,(212) 633-2590,West Village,"52 Greenwich Ave., New York, NY 10011",,,,,,,
Gowanus Yacht Club,(718) 246-1321,Gowanus,"323 Smith St., Brooklyn, NY 11230",,,,,,,
Gramercy Ale House,(212) 260-1129,Gramercy,"272 3rd Ave., New York, NY 10010",,,,,,,
Gramercy Tavern,(212) 477-0777,Flatiron,"42 E 20th St., New York, NY 10003",,,,,,,
Gran Electrica,(718) 852-2700,DUMBO,"5 Front St., Brooklyn, NY 11201",,,,,,,
Grand Bar & Lounge at Soho Grand Hotel,(212) 965-3588,TriBeCa,"310 W Broadway, New York, NY 10013",,,,,,,
Grand Central Terminal,(212) 340-2583,Midtown East,"89 E 42nd St., New York, NY 10017",,,,,,,
Grape and Grain,(212) 420-0002,East Village,"620 E 6th St., New York, NY 10009",,,,,,,
Green Rancho,(212) 956-0731,Hell's Kitchen,"741 9th Ave., New York, NY 10019",,,,,,,
Green Rock Tap & Grill,(201) 386-5600,Hoboken,"70 Hudson St., Hoboken, NJ 07030",,,,,,,
Greenwich Street Tavern,(212) 334-7827,TriBeCa,"399 Greenwich St., New York, NY 10013",,,,,,,
Greenwich Treehouse,(212) 675-0395,West Village,"46 Greenwich Ave., New York, NY 10011",5PM-8PM,5PM-8PM,5PM-8PM,5PM-8PM,5PM-8PM,5PM-8PM,5PM-8PM
Grey Bar & Restaurant,(212) 532-2643,Flatiron,"43 W 26th St., New York, NY 10010",,,,,,,
Grey Lady,(646) 580-5239,Lower East Side,"77 Delancey St., New York, NY 10002",,,,,,,
Griff's Place,(718) 668-2645,New Dorp Beach,"704 New Dorp Ln., New Dorp Beach, NY 10306",,,,,,,
Gristmill,(718) 499-2424,Park Slope,"289 5th Ave., Brooklyn, NY 11215",,,,,,,
Grotta Azzurra,(212) 925-8775,Little Italy,"177 Mulberry St., New York, NY 10013",,4PM-7PM,4PM-7PM,4PM-7PM,6PM-10PM,4PM-7PM,
Growler & Gill Craft Beer Bar,(845) 507-0899,Nanuet,"148 Rt 59, Nanuet, NY 10954",,,,,,,
Gruppo,(212) 995-2100,East Village,"98 Ave. B, New York, NY 10009",,,,,,,
Guantanamera,(212) 262-5354,Midtown West,"939 8th Ave., New York, NY 10019",,,,,,,
Guinness Pub,noval,Newark,"Newark International Airport - Concourse C, Newark, NJ 07114",,,,,,,
Gun Hill Brewing Company,(718) 881-0010,Olinville,"3227 Laconia Ave., Bronx, NY 10469",,,,,,,
Guy's American Kitchen and Bar,(646) 532-4897,Theater District,"220 W 44th St., New York, NY 10036",,,,,,,
Gym Sportsbar,(212) 337-2439,Chelsea,"167 8th Ave., New York, NY 10011",,,,,,,
Gyu-Kaku,(212) 475-2989,East Village,"34 Cooper Sq., New York, NY 10003",3PM-6PM,3PM-6PM|9:30PM-Close,3PM-6PM|9:30PM-Close,3PM-6PM|9:30PM-Close,3PM-6PM|9:30PM-Close,3PM-6PM,3PM-6PM
Gyu-Kaku Japanese BBQ,(212) 702-8816,Midtown East,"805 3rd Ave., New York, NY 10022",,,,,,,
Habana Outpost,(718) 858-9500,Fort Greene,"757 Fulton St., Brooklyn, NY 11217",,,,,,,
Haile Bistro,(212) 673-8949,East Village,"182 Ave. B, New York, NY 10009",,,,,,,
Hailey's Harp and Pub,(732) 321-0777,Metuchen,"400 Main St., Metuchen, NJ 08840",,,,,,,
Hair of the Dog,(212) 477-7771,Lower East Side,"168 Orchard St., New York, NY 10002",12PM-4AM,11:30AM-8PM|8PM-4AM,11:30AM-8PM|8PM-4AM,11:30AM-8PM|8PM-4AM,11:30AM-8PM|8PM-4AM,11:30AM-8PM|8PM-4AM,11:30AM-8PM|8PM-4AM
Hakkasan,(212) 776-1818,Hell's Kitchen,"311 W 43rd St., New York, NY 10036",,,,,,,
Halyards,(718) 532-8787,Gowanus,"406 3rd Ave., Brooklyn, NY 11215",,,,,,,
Hanco's,(718) 499-8081,South Slope,"350 7th Ave., Brooklyn, NY 11215",,,,,,,
HandCraft Kitchen & Cocktails,(212) 689-3000,Kips Bay,"367 3rd Ave., New York, NY 10016",,,,,,,
Hane Sushi,(212) 598-0135,Stuyvesant Town,"346 1st Ave., New York, NY 10009",,,,,,,
Hangar 11 Bar & Grill,(718) 441-8100,Richmond Hill,"119-11 Metropolitan Ave., Kew Gardens, NY 11415",,,,,,,
Hangawi,(212) 213-0077,Midtown East,"12 E 32nd St., New York, NY 10016",,,,,,,
Hanjan,(212) 206-7226,Flatiron,"36 W 26th St., New York, NY 10010",,,,,,,
Happy Ending,(646) 998-3184,Lower East Side,"302 Broome St., New York, NY 10002",,,,,,,
Happyfun Hideaway,noval,Bushwick,"1211 Myrtle Ave., Brooklyn, NY 11221",,,,,,,
Hard Rock Cafe,(212) 343-3355,Theater District,"1501 Broadway, New York, NY 10036",,,,,,,
Harding's,(212) 600-2105,Flatiron,"32 E 21st St., New York, NY 10010",,,,,,,
Hardware Bar,(212) 924-9885,Hell's Kitchen,"697 10th Ave., New York, NY 10036",,,,,,,
Harefield Road,(718) 388-6870,East Williamsburg,"769 Metropolitan Ave., Brooklyn, NY 11211",,,,,,,
Harlem Food Bar,(212) 222-9570,Harlem,"2100 Frederick Douglass Blvd., New York, NY 10026",,,,,,,
Harlem Nights,(646) 820-4603,Harlem,"2361 7th Ave., New York, NY 10030",,,,,,,
Harlem Public,(212) 939-9404,Harlem,"3612 Broadway, New York, NY 10031",,,,,,,
Harlem Tavern,(212) 866-4500,Harlem,"2153 Frederick Douglass Blvd., New York, NY 10026",,,,,,,
Harley's Smokeshack and BBQ,(212) 828-6723,East Harlem,"355 E 116 St., New York, NY 10029",,,,,,,
Harrington's Bar & Grill,(212) 736-3636,Midtown West,"370 7th Ave., New York, NY 10001",,,,,,,
Harry's Cafe & Steak,(212) 785-9200,Financial District,"1 Hanover Sq, New York, NY 10004",,,,,,,
Harry's Italian Pizza Bar,(212) 747-0797,Financial District,"2 Gold St., New York, NY 10038",,,,,,,
Hartley's,(347) 799-2877,Clinton Hill,"14 Putnam Ave., Brooklyn, NY 11238",,,,,,,
Haru Sushi,(212) 785-6850,Financial District,"1 Wall Street Ct., New York, NY 10005",5PM-7PM,3PM-7PM,3PM-7PM,3PM-7PM,3PM-7PM,3PM-7PM,5PM-7PM
Hasaki,(212) 473-3327,East Village,"210 E 9th St., New York, NY 10003",,,,,,,
Havana Alma De Cuba,(212) 242-3800,West Village,"94 Christopher St., New York, NY 10014",,,,,,,
Havana Cafe,(718) 518-1800,Schuylerville,"3151 E Tremont Ave., Bronx, NY 10461",,3PM-7PM,3PM-7PM,3PM-7PM,3PM-7PM,,
Havana Central,(212) 398-7440,Theater District,"151 W 46th St., New York, NY 10036",,,,,,,
Havana Rum Room,(201) 472-9450,North Bergen,"7512 Broadway, North Bergen, NJ 07047",,,,,,,
Havana Social,(212) 956-2155,Midtown West,"688 10th Ave., New York, NY 10019",,,,,,,
Haven Rooftop,(212) 466-9000,Theater District,"132 W 47th St., New York, NY 10036",,,,,,,
Haymaker Bar and Kitchen,(646) 429-8237,Midtown West,"252 W 29th St., New York, NY 10001",,,,,,,
Healy's Tavern,(201) 222-2777,Jersey City,"374 Newark Ave., Jersey City, NJ 07302",,,,,,,
Heart of India,(212) 673-9673,East Village,"79 2nd Ave., New York, NY 10003",,,,,,,
Heartland Brewery,(646) 366-0235,Theater District,"127 W 43rd St., New York, NY 10036",,,,,,,
Heavy Woods,(929) 234-3500,Bushwick,"50 Wyckoff Ave., New York, NY 11237",,,,,,,
Hecho en Dumbo,(212) 937-4245,NoHo,"354 Bowery, New York, NY 10012",,,,,,,
Heidelberg Restaurant,(212) 628-2332,Upper East Side,"1648 2nd Ave., New York, NY 10028",,,,,,,
Heights Tavern,(212) 740-5700,Washington Heights,"3910 Broadway, New York, NY 10032",,,,,,,
Hell's Chicken,(212) 757-1120,Midtown West,"641 10th Ave., New York, NY 10036",,,,,,,
Hell's Kitchen,(212) 977-1588,Theater District,"754 9th Ave., New York, NY 10019",,,,,,,
Hell's Kitchen Lounge,(973) 465-4422,Newark,"150 Lafayette St., Newark, NJ 07105",,,,,,,
Hendriks,(212) 686-8080,Murray Hill,"557 Third Ave., New York, NY 10016",,,,,,,
Henry Public,(718) 852-8630,Cobble Hill,"329 Henry St., Brooklyn, NY 11201",,,,,,,
Henry's,(212) 866-0600,Manhattan Valley,"2745 Broadway, New York, NY 10025",,,,,,,
Heritage Bar & Restaurant,(914) 776-7532,Yonkers,"960 McLean Ave., Yonkers, NY 10704",,,,,,,
